signalName,t,tWall,value,unit
serial:COM8/vbus_v,184850,1786320172589,19.572,V
serial:COM8/phase_u_v,184850,1786320172589,7.563,V
serial:COM8/phase_v_v,184850,1786320172589,7.574,V
serial:COM8/phase_w_v,184850,1786320172589,7.590,V
serial:COM8/phase_u_i,184850,1786320172589,-0.012,A
serial:COM8/phase_v_i,184850,1786320172589,-0.052,A
serial:COM8/phase_w_i,184850,1786320172589,-0.036,A
serial:COM8/bench_duty,184852,1786320172589,0.000,
serial:COM8/motor_angle,184852,1786320172589,73.06,deg
serial:COM8/vbus_v,184852,1786320172589,19.588,V
serial:COM8/phase_u_v,184852,1786320172589,7.704,V
serial:COM8/phase_v_v,184852,1786320172589,7.715,V
serial:COM8/phase_w_v,184852,1786320172589,7.736,V
serial:COM8/phase_u_i,184852,1786320172589,-0.133,A
serial:COM8/phase_v_i,184852,1786320172589,-0.052,A
serial:COM8/phase_w_i,184852,1786320172589,-0.036,A
serial:COM8/bench_duty,184854,1786320172589,0.000,
serial:COM8/motor_angle,184854,1786320172589,73.02,deg
serial:COM8/vbus_v,184854,1786320172589,19.582,V
serial:COM8/phase_u_v,184854,1786320172589,7.855,V
serial:COM8/phase_v_v,184854,1786320172589,7.855,V
serial:COM8/phase_w_v,184854,1786320172589,7.882,V
serial:COM8/phase_u_i,184854,1786320172589,-0.004,A
serial:COM8/phase_v_i,184854,1786320172589,-0.044,A
serial:COM8/phase_w_i,184854,1786320172589,-0.020,A
serial:COM8/bench_duty,184856,1786320172589,0.000,
serial:COM8/motor_angle,184856,1786320172589,73.10,deg
serial:COM8/vbus_v,184856,1786320172589,19.572,V
serial:COM8/phase_u_v,184856,1786320172589,7.995,V
serial:COM8/phase_v_v,184856,1786320172589,8.006,V
serial:COM8/phase_w_v,184856,1786320172589,8.033,V
serial:COM8/phase_u_i,184856,1786320172589,-0.004,A
serial:COM8/phase_v_i,184856,1786320172589,-0.068,A
serial:COM8/phase_w_i,184856,1786320172589,-0.036,A
serial:COM8/bench_duty,184858,1786320172589,0.000,
serial:COM8/motor_angle,184858,1786320172589,73.13,deg
